;name;image;appearences;description
488;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/d/d6/Bruce_%28Earth-616%29_from_Spectacular_Spider-Man_Vol_2_25_0001.jpg/revision/latest?cb=20190624164800;Spectacular Spider-Man Vol 2 25;Bruce was the leader of a Paris street gang involved in smuggling, drug trafficking and illegal gambling and after observing with his own eyes what the Stacy twins were capable of he made them join the gang.[291]
489;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/3/3d/Bruce_%28Earth-616%29_from_Astonishing_X-Men_Vol_3_59_0001.jpg/revision/latest?cb=20190623100150;Astonishing X-Men Vol 3 59;Bruce was Linda's boyfriend (the counterpart of Nightcrawler's wife of Earth-295), and while Linda was talking on the phone telling about the one who kept giving her romantic gifts, Bruce showed up at his house earlier than he had planned because he loved her and missed her.[292]
490;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/0/06/Bruce_%28Earth-616%29_from_Avengers_Standoff_Welcome_to_Pleasant_Hill_Vol_1_1_0001.jpg/revision/latest?cb=20190626203343;Avengers Standoff: Welcome to Pleasant Hill Vol 1 1;"Dr. Bruce was a psychologist included in the ""Pleasant Hill"" program of S.H.I.E.L.D. and in particular he took care of the psychological conditioning of Helmut Zemo, succeeding us almost completely if Fixer had not intervened.[293]"
491;Brucknerr;https://static.wikia.nocookie.net/marveldatabase/images/d/d2/Doctor_Brucknerr_%28Earth-616%29_from_Amazing_Spider-Man_Vol_1_406_0001.jpg/revision/latest?cb=20200118050924;Amazing Spider-Man Vol 1 406;Dr. Brucknerr was a henchman and scientist who worked for Lady Octopus. He was the one who informed her that Seward Trainer had gotten around their computer defenses, and later used Trainer's files to enhance her VR wave generator.[294]
492;Bruno;https://static.wikia.nocookie.net/marveldatabase/images/7/70/Bruno_%28Burglar%29_%28Earth-616%29_from_Amazing_Adult_Fantasy_Vol_1_13_001.png/revision/latest?cb=20200222204751;Amazing Adult Fantasy Vol 1 13;Bruno was a burglar who was shrunk and encased in a crystal ball by a gypsy.[295]
493;Bruno;https://static.wikia.nocookie.net/marveldatabase/images/6/6a/No_Image_Male.jpg/revision/latest?cb=20101028214136;Iron Fist Vol 1 4;A musclebound enforcer in the employ of Ward Meachum prior to his death, Bruno was one of a trio of goons who paid an unwelcome visit to Henri Sorel's private lab. Sorel had been working on a universal cure for radiation poisoning on the behalf of the World Health Organization, and Bruno and his fellow goons had been hired by Meachum to pressure Sorel into selling his discoveries to his company. When Sorel resisted them, it was Bruno who beat the physicist and sent him crashing into samples of plutonium isotopes. They then left him to die, unaware that effects from his experiments combined with the radiation exposure would mutate Sorel into Radion the Ravager. Iron Fist would later see all of this documented on a video diary midway through a confrontation with Sorel/Radion in London.[296]
494;Bruno;https://static.wikia.nocookie.net/marveldatabase/images/2/20/Bruno_%28Earth-616%29_from_Marvel_Team-Up_Vol_1_68_001.png/revision/latest?cb=20130316112742;Marvel Team-Up Vol 1 68;Bruno was one of Amos Jardine's employees, who escorted Peter Parker and Mary Jane Watson to the door, after Parker asked Jardine questions about the Man-Thing.[297]
495;Bruno;https://static.wikia.nocookie.net/marveldatabase/images/c/c6/Bruno_%28Clown%29_%28Earth-616%29_from_X-Men_Vol_1_111_001.png/revision/latest?cb=20201011224844;X-Men Vol 1 111;"Bruno was a clown who worked for ""Mr. Mike's One-Ring Traveling Tent Show"" in Sullivan County.[298]"
496;Bruno;https://static.wikia.nocookie.net/marveldatabase/images/6/6f/Bruno_%28Killer%29_%28Earth-616%29_from_Daredevil_Vol_1_170_001.png/revision/latest?cb=20150525115647;Daredevil Vol 1 170;Bruno was a retired killer who died while attempting to murder Vanessa Fisk.[299]
497;Bruno;https://static.wikia.nocookie.net/marveldatabase/images/4/4c/Bruno_%28Mercenary%29_%28Earth-616%29_from_Wolverine_Vol_2_9_001.png/revision/latest?cb=20201030000945;Wolverine Vol 2 9;Bruno was killed by Malone as they were hunted by Wolverine for torturing and abusing a Canadian nun in Iraq.[300]
498;Brutus;https://static.wikia.nocookie.net/marveldatabase/images/6/65/Brutus_%28Earth-616%29_from_Avengers_Vol_3_32_001.png/revision/latest?cb=20160908203022;Avengers Vol 3 32;One of the robotic members of Madame Masque's Inner Guard. It was destroyed in a battle between the Avengers and Count Nefaria.[301]
499;Bryan;https://static.wikia.nocookie.net/marveldatabase/images/e/e5/Bryan_%28Earth-616%29_from_Strange_Tales_of_the_Unusual_Vol_1_5_0001.jpg/revision/latest?cb=20190224144720;Strange Tales of the Unusual Vol 1 5;Bryan was an inventor who built a robot with the features of his brother-in-law on his sister's instructions.[302]
500;Bryant;https://static.wikia.nocookie.net/marveldatabase/images/5/57/Bryant_from_Patsy_and_Hedy_Vol_1_92_0001.jpg/revision/latest?cb=20181226113016;Patsy and Hedy Vol 1 92;Mr. Bryant was a new English literature teacher in Centerville. Hedy Wolfe had a crush on him and began performing poorly in English to garner his tutelage,[303]
501;Bryant;https://static.wikia.nocookie.net/marveldatabase/images/7/75/Bryant_%28Earth-616%29_from_Power_Man_and_Iron_Fist_Vol_2_5_0001.jpg/revision/latest?cb=20210116181901;Power Man and Iron Fist Vol 2 5;Member of the famous rap duo AK-47 together with his wife and father of Tiowa, classmate and girlfriend of Víctor Álvarez who to annoy her parents she dressed in the fashion of the 20s.[304]
502;Bryant;https://static.wikia.nocookie.net/marveldatabase/images/c/c4/Bryant_%28Earth-616%29_from_Power_Man_and_Iron_Fist_Vol_2_5_0002.jpg/revision/latest?cb=20210116182036;Power Man and Iron Fist Vol 2 5;Member of the famous rap duo AK-47 together with her husband and mother of Tiowa, classmate and girlfriend of Víctor Álvarez who to annoy her parents she dressed in the fashion of the 20s.[304]
503;Bryce;https://static.wikia.nocookie.net/marveldatabase/images/7/75/Bryce_%28Earth-616%29_from_Emma_Frost_Vol_1_1_0001.jpg/revision/latest?cb=20210222223917;Emma Frost Vol 1 1;Mentions: Emma Frost #5
504;Bubba;https://static.wikia.nocookie.net/marveldatabase/images/8/82/Bubba_%28Earth-616%29_from_Miles_Morales_Spider-Man_Vol_1_30_001.jpg/revision/latest?cb=20211002180259;Miles Morales: Spider-Man Vol 1 30;Bubba was the little dog who had escaped to two twins who became desperate as their grandmother was told to be responsible but Spider-Man went to their aid and found Bubba who he handed back to the two girls.[310]
505;Buchinsky;https://static.wikia.nocookie.net/marveldatabase/images/7/75/Colonel_Buchinsky_%28Earth-616%29_from_Amazing_Spider-Man_Vol_1_331_0001.jpg/revision/latest?cb=20160709102556;Amazing Spider-Man Vol 1 331;A Colonel who administered a military school and at the same time presided over a secret military operation by storing huge quantities of cocaine inside the school to create a wealth standard based on cocaine and not gold.[311]
506;Bud Boy;https://static.wikia.nocookie.net/marveldatabase/images/6/60/Bud_Boy_%28Earth-616%29_from_U.S.Agent_Vol_2_1_0001.jpg/revision/latest?cb=20201107144627;U.S.Agent Vol 2 1;Bud Boy was one of the former workers at Brombline Cross Mining who was interviewed after the mine closed and the Virago arrived.[312]
